序號,水庫代碼,水庫名稱,流域編號,河川名稱,縣市,有效容量(萬立方公尺),呆水位標高(公尺),滿水位標高(公尺),是否啟用,總蓄水量(萬立方公尺),x,是否灌溉用水,是否工業用水,是否發電用水,是否民生用水,二度分帶X(TWD97),二度分帶Y(TWD97),經度(TWD97),緯度(TWD97)
75,30805,中正湖,"1,730",,高雄市,51.8929,48,51.6,1,60.5591,9,1,1,1,1,"203,947.09","2,533,931.01",120.551071,22.905878
76,40202,水簾壩,"2,420",,花蓮縣,2.1,307.6,310.5,1,4,9,1,1,1,1,"293,800.74","2,655,158.17",121.430509,24.000615
77,40203,龍溪壩,"2,420",,花蓮縣,18.9597,"1,266.50","1,276.70",1,18.9894,9,1,1,1,1,"291,706.64","2,657,574.03",121.409996,24.022485
78,50104,赤崁水庫,313,,澎湖縣,25.45,0,3,1,659,1,1,1,1,1,"106,126.57","2,618,979.25",119.589611,23.668
79,30403,德元埤,"1,590",,臺南市,178.8487,11.2,14.2,1,179,9,1,1,1,1,"180,573.90","2,573,593.50",120.329667,23.261389
80,50105,西安水庫,313,,澎湖縣,23.11,4,12.5,1,23.58,1,1,1,1,1,"96,559.28","2,586,326.25",119.499194,23.372389
81,50106,七美水庫,313,,澎湖縣,28.36,16,24,1,28.36,1,1,1,1,1,"88,465.00","2,567,921.00",119.422,23.2055
82,50202,田埔水庫,,,金門縣,59.5,2.5,6.55,1,69,1,1,1,1,1,0,0,0,0
83,50203,陽明湖水庫,,,金門縣,26.2,35,41.9,1,26.2,1,1,1,1,1,"-10,648.83","2,708,323.85",118.4295,24.4594
84,50204,山西蓄水塘,,,金門縣,22,22.1,28.5,1,22,9,1,1,1,1,"-10,499.12","2,713,642.64",118.43,24.5074
85,50205,榮湖水庫,,,金門縣,45.2,1.25,4,1,45.2,1,1,1,1,1,"-12,679.81","2,711,499.31",118.4089,24.4877
86,50206,擎天水庫,,,金門縣,23.8,16,31.06,1,23.8,1,1,1,1,1,"-13,764.62","2,708,847.76",118.3987,24.4636
87,50207,金沙水庫,,,金門縣,57,0.55,4.2,1,57,1,1,1,1,1,"-13,385.11","2,712,299.73",118.4018,24.4948
88,50208,蓮湖水庫,,,金門縣,8.5,3.5,5.8,1,8.5,1,1,1,1,1,"-28,808.26","2,707,664.14",118.2507,24.4503
89,50209,菱湖水庫,,,金門縣,9,6.6,12.9,1,9,1,1,1,1,1,"-29,472.18","2,707,455.59",118.2442,24.4483
90,50210,西湖水庫,,,金門縣,48.6,0,2.96,1,48.6,1,1,1,1,1,"-30,956.37","2,706,332.05",118.2298,24.4379
91,50301,勝利水庫,,,連江縣,18.92,1,16,1,19.32,1,1,1,1,1,"143,629.16","2,893,831.55",119.9361,26.1521
92,50302,秋桂山水庫,,,連江縣,3.5075,2.1,12.5,1,3.5275,1,1,1,1,1,"142,513.40","2,895,547.03",119.9248,26.1675
93,50305,儲水沃水庫,,,連江縣,4.2321,1.6,19.2,1,4.2921,1,1,1,1,1,"141,710.29","2,893,958.20",119.9169,26.1531
94,50306,津沙水庫,,,連江縣,4.6377,2.5,19,1,4.6677,1,1,1,1,1,"141,562.45","2,893,017.64",119.9155,26.1446
95,50307,津沙1號壩,,,連江縣,1.329,2.5,12.4,1,1.359,1,1,1,1,1,"141,495.69","2,893,405.99",119.9148,26.1481
96,50308,?里水庫,,,連江縣,14.4707,7,19,1,14.9707,1,1,1,1,1,"147,489.94","2,901,545.27",119.9741,26.222
97,50309,東湧水庫,,,連江縣,8.4827,7,18.8,1,8.9827,1,1,1,1,1,0,0,0,0
98,50310,后沃水庫,,,連江縣,46.5177,2,16,1,46.9724,1,1,1,1,1,"142,408.10","2,894,905.27",119.9238,26.1617
99,50201,太湖水庫,,,金門縣,168.9,13.2,19,1,183.5,1,1,1,1,1,"-10,763.11","2,705,997.79",118.4288,24.4384
